Rating,Review
10,"Zentropa is the most original movie I've seen in years. If you like unique thrillers that are influenced by film noir, then this is just the right cure for all of those Hollywood summer blockbusters clogging the theaters these days. Von Trier's follow-ups like Breaking the Waves have gotten more acclaim, but this is really his best work. It is flashy without being distracting and offers the perfect combination of suspense and dark humor. It's too bad he decided handheld cameras were the wave of the future. It's hard to say who talked him away from the style he exhibits here, but it's everyone's loss that he went into his heavily theoretical dogma direction instead."
7,"This was a pretty decent movie. This movie is good to just sit down and watch and be entertained. Just a typical Hollywood film. This movie will never win an Oscar or anything and definitely doesn't deserve one, but I thought it was pretty good. It's kind of like the show 24 but set into movie format. If you like the whole we've got to stop the terrorist from killing the president kind of movie then you will enjoy this flick. I personally think that storyline has been done WAY too much, but The Sentinel does add a little twist with the mole in the Secret Service. All in all, this movie won't leave your jaw to the floor or change your life, but who says every single movie has to be like that to be good?"
10,"It's heart-warming to see a movie that doesn't bash males. In this one the wife/mother leaves her family to ""get in touch"" with herself - or pursue her libido. The father stays with and nurtures the kids, letting neither his work nor his love life interfere with his love of and responsibility to them."
1,"I should have known I was in trouble with Casper Van Diem as the lead character. Words cannot describe, nor do they do justice to just how terrible this movie was. But please allow me to try to describe it: Horrible acting, terrible dialog, corny situations and through it all you get the feeling that you are being force-fed the beliefs and propeganda from the Trinity Broadcasting Network. Its a weak attempt at trying to show Hollywood that a movie can be entertaining and have a deep, religious message attached to it. They failed miserably. It was clearly the worst movie I have seen in a long time."
1,"this could be one of the worse movies i've ever seen. i don't see how could this ever be described as a horror movie, or even a thriller? its more like a lumbering drama. the scary music is EXCELLENT but since there weren't any scary situations the director thought it would be a good idea to use it for everyday activities like taking a dump or walking down stairs. the movie had so much potential. they had beautiful cinematography (sp?) and interesting characters, but it seemed as if the writers assumed you already knew them. they would undergo peculiar activities without explanation or even a clue at what they meant. this is simply one of those movies that says its about one thing and it something totally different."
8,"A beautiful film, touching profoundly up the simple, yet divine aspects of humanity.   This movie was almost perfect, and seeing as nothing in this world can be truly perfect, that is pretty good. The only minor thing I subjectively object to, is the pacing at some points in the middle of the story. The acting is also very good, and all the actors easily top actors in high-profile films. The actual directing seems to have been well thought through, and the script must have been amazing. There are some truly breathtaking moments of foreshadowing, and a quite gorgeous continuing circular composition of the story.  The moment in the movie, when the main character achieves that feeling of being in heaven is the perfect ending to a truly brilliant yarn."
9,"The National Gallery of Art showed the long-thought lost original uncut version of this film on July 10, 2005. It restores vital scenes cut by censors upon its release. The character of the cobbler, a moral goody-goody individual in the original censored release of 1933 is here presented as a follower of the philosopher Nietsze and urges her to use men to claw her way to the top. Also, the corny ending of the original which I assume is in current VHS versions is eliminated and the ending is restored to its original form. A wonderful film of seduction and power. Hopefully, there will a reissue of this film on DVD for all to appreciate its great qualities. Look for it."
9,"... or was Honest Iago actually smirking at the end, as he died?  Loved how the Bard's iambic pentameter just rolled of Fishburne's tongue, with excellent clarity and emotion.  And how Branagh made Honest Iago seem to celebrate his own evilness...  This is a wonderful film.  I have often thought that Shakespeare is inherently not film-friendly: He uses words to create pictures in our minds, which creates a perennial battle with the camera, which only knows to show us what we need to think and feel. Every effort to film Shakespeare ought really to be celebrated. It is not an easy thing to do."
3,"This is the most messed up entry on IMDb that I've yet to stumble across. All the previous reviewers act like this is the movie. This is NOT the movie. Rather it's merely a featurette that's an extra on the DVD of the movie ""The One"" It also nowhere near being the 90 minutes that it's listed here as. In actuality it's barely over 13 minutes of how cool Jet Li can do martial arts. and his reflections on the movie. So yeah this IMDb entry is quite a bit fubar. Don't listen to any of the other reviews as they are ALL wrong. You can trust me, because I never feed you, dear reader, BS.  and that's the truth. i guess u can say that i'm ""the One"" Reviewer that matters."
2,"Before starting to watch the show, I've heard it was great and aesthetically very interesting. What a deception, the scripts are so dumb that I am quite sure the authors are son and grandson of Scoobidoo writers. And what about the SFX and colors, they are so extreme that it is painful to watch, colors are not saturated they are over saturated, like scripts are overwritten and show is overrated. This show is like a bad pie in which a child would have put only sugar and butter thinking that because these ingredients are the best, they are sufficient. Unfortunately for this show, the only two ingredients of this show are finally vacuity and a total lack of credibility."
10,"The Color Purple is a masterpiece. It displays the amazing acting abilities of Whoopi Goldberg, Oprah Winfrey, and Danny Glover. Not only is Steven Spielberg the most incredible director of all time but his versatility shines through in this film. If you ever want to see what a movie can do watch this. It's a beautiful portrayal of one of the most moving stories of all time!"
9,"Pinjar is one of the few movies that really leaves a mark and makes you think hard. Set in Partition India, this film Shows the true reality of partition India. Urmila gets full marks for her beautiful and deeply emotional portrayal of a suffering woman with no way to go. Her freedom, personal identity and family respect taken away overnight over a tragic land dispute. Manoj bajpai is simply brilliant as her remorseful abductor. There several moments in the film where one is brought to tears. The film at points is deeply traumatic. Some of the partition scenes are spine chilling, yet Urmila's endurance and survival are both remarkable. From a woman robbed of her freedom to woman who gave freedom to women in similar situations. A remarkable film that should be given credit for intelligent characters and storytelling."
8,This episode from the first season slightly edges towards controversy with the whole gender bending angle.I imagine there would have been a significant amount of editing before this was finished to appease censors.  The story itself is original and well written and the directing is complemented by the fine acting.(Nicholas Lea makes his X-Files debut though not as Agent Krycek but as a victim called Michael) I especially enjoyed the built up to and the ending itself.  Its different but enjoyable.Ignore any bad reviews you may hear.Watch it for yourself and make judgement then
3,"I appreciate a think positive feel good about yourself film, but this is too much. In the end they look like a bunch of loonies. This film is one of those finding yourself 70's plots, I know the film is made in 1980. A lot more of Clint and girl friend movie. This movie is a 3/10."
3,"I was thrilled to watch this movie expecting it to be the sequel to the cult classic ""Private Lessons"" which portrays the dream of any male teenager.  ""Private Lessons II"" has NOTHING to do with the title I mention. It's just a regular soft-core Cinemax flick that won't make a change in your life. There's just one hot sex scene in a rooftop but that's it. I watched this a long time ago but believe me, this is just a regular boring soft core flick.  The women are hot but that's not enough to rent or buy the movie. My advice is to watch this only if it airs on cable."
3,Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls somewhat of a decent plot. Unfortunately I would have to say that this was probably the worst movie I have seen this year. Don't get me wrong the cars were nice and the girls were OK but the way they put the movie together was just plain crappy to put it nicely. The story just never made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing ever by far but if your looking for a movie to go to this weekend I would pass on this one for now.
1,Truly shows that hype is not everything. Shows by and by what a crappy actor abhishek is and is only getting movies because of his dad and his wife. Amitabh as always is solid. Ajay Devgan as always is shitty and useless and the new guy is a joke. The leading lady is such a waste of an actor. Such pathetic movie from such a revered director and from such a big industry. With movies as such I have decreased the amount of bollywood movies I watch.  RGV has been making very crappy movies for a while now. Time to get different actors. Hrithek anyone? Bollywood needs Madhuri and Kajol back. Every other leading lady is a half-naked wanna be. Pffffft.
4,"It was a good story, but not very well told. I liked the themes and the main story line, which wasn't as clear as it could have been. Maybe there was too much going on and a lack of ability to reign it all in. The acting was okay to cheesy, some were stronger than others and even the stronger actors had their moments of lesser quality acting. It took me a couple of months to get through the entire movie because it didn't keep my attention and the flow was just bad. I only just finished watching it and I'm glad I did as the movie finally gets moving and has some continuity toward the end. Again, a good story, but the delivery was sub par. Would recommend it for the story line and maybe a little eye candy, and I do mean, a little."
4,"Quite average even by Monogram standards, this mystery (a remake of The Sphinx) has an oddball plot which is not unraveled to much effect -- you'll see through it after about ten minutes. The two leads have some nice breezy dialog at the outset, but John Hamilton is hopelessly dull as the villain (perfectly cast Lionel Atwill originated the role) and Warren Hymer's nitwit shtick is pretty annoying. However, it's worth sitting through for a five-minute appearance by the incomparable Mantan Moreland as Nicodemus the janitor, who gets the better of the defense attorney during a hilarious courtroom appearance. You've got to hand it to Bill ""One-Take"" Beaudine; he wasn't much of a director, but he would always punch up a routine programmer with some goofy vaudeville."
7,"I had fun watching Red Eye. It's not a masterpiece, but it's well directed and structured. Cillian Murphy and Rachel McAdams are perfect in the role. Yes, it's the same old story with a different setting but Wes Craven gave it a good pace. At least not another Scream with the usual college killer. It's nice when you can see a clean, coherent thriller even when originality doesn't stand out as its main character. Particularly from a film-maker like Craven that has brought so many innovative ideas to the thriller and horror genre in the past and that now just lends himself to bringing home what could have been a good TV movie had it not been released theatrically. Good job!"
10,"I live in Missouri, so the direct effects of terrorism are largely unknown to me, this brought it home. That two men would put themselves on the line in the way that those members of FDNY and NYPD did, just to document the horror that unfolded on that day. This film is a testament to those who lost their lives and the true evil that terror brings."
7,"Absolutely enjoyable singing and dancing movie starring Frank Sinatra and gen Kelly, as well as Kathryn Grayson.  The film won and Oscar for George E. Stoll's score, and it garnered nominations for Best Picture, Best Actor for Kelly, and Best Cinematography, as well as a Best Son nomination for ""I Fall in Love Too Easily"" sung by Sinatra.  It was a cute story about Kelly helping his pal Sinatra get a girl and falling in love with her himself. The lovely Grayson (The Toast of New Orleans) dazzled us with her singing, and we had a lot of great songs and dance routines by Kelly and Sinatra, as well as the artistry of pianist-conductor José Iturbi.  A classic Hollywood music from an era gone by."
9,"I happened upon this film by accident, and really enjoyed. Timothy Busfield's character is without redeeming qualities, and at one point, Busfield and star Meloni ogle women as they pass by...Meloni's take on the parade is different from Busfield's. Janel Maloney is terrific...She looks very much like Tea Leone, but the major difference here is that Janel can actually ACT. Some very nice things in this film and well worth your attention when it's on cable."
2,"Raising victor Vargas is just a bad film. No amount of denial or ad-dollar supported publicity with change this sad fact.  Maybe Peter Sollett saw he didn't have the money to do the movie he wanted to make and decided to take the easy way out by making a bad film that cynically apes the tenets of current ""edgy film-making"". Maybe he just doesn't know any better. It's hard to tell.  What's not hard to tell is the result. Except for a few viewers who will intellectualize the bad film-making into an attempt at pseudo-realism, few will enjoy it.  I know I didn't.  Do yourselves a favor and pass on this film."
2,"Couldn't believe it! Clipped sentences? Good grief! Know what? All true! Real people ever talk like this? Don't think so. Good girl! Stout fellow! Stiffen upper lip! Only reason given movie 2 instead of 0 Gary Cooper such a dish. Movie as a whole ridiculous unless you like watching endless biplane dogfights. Seemed endless, anyway. Think all Franchot Tone's dialogue dubbed. When Crawford and Young make a special effort to sound British they come over as Irish. Handy tip - we Brits clip words, not sentences. And somehow we manage to draaaaaaaawl at the same time. But that's only if we've been to a really good public (that's private to you) school."
8,"It breaks my heart that this movie is not appreciated as it should be. its very underrated. people forgot what movies are really about, nowadays they only think about bum bum movies, which can be quite fun watching with popcorn and friends, like transformers, movies which are oriented, with hyper mega high budget like 300mln or even higher, on special effects only and which are dumb movies without storyline. Its the kind of a movie what i despite most. Of course it is fun watching greatly made CGIs, but we do not gain anything essential from that kind of movies.  I honestly think that performance was excellent. Especially Busy Philipps, alongside with Erika Christensen and Victor Garber(whom i respect) made this movie an Oscar worth. Emotional performance by Busy Philipps was astonishing, its such a shame we wont see Oscar in her hands, which she deserves."
3,"Spooks is enjoyable trash, featuring some well directed sequences, ridiculous plots and dialogue, and some third rate acting.  Many have described this is a UK version of ""24"", and one can see the similarities.   The American version shares the weak silly plots, but the execution is so much slicker, sexier and I suspect, expensive.  Some people describe weak comedy as ""gentle comedy"".   This is gentle spy story hour, the exact opposite of anything created by John Le Carre.  Give me Smiley any day."
7,"Victor Nunez imbues this unsentimental tale of a young woman's emotional journey with a sense of poetry seldom seen in cinema. By poetry I mean the sense in which the literary and the cinematic come into play. There is something very literary about the film, almost as if a novel has been adapted page by page to screen. In this sense, the film achieves depths many cannot; but it is also rather slow at other times, undercutting the depths it once achieved in favor of ennui. The film's star Ashley Judd has not yet made a better film than her debut here. She fits the role of lead Ruby like a glove, almost as if she didn't have to act. She has true movie star presence in the film, and hasn't really managed to convey the same allure in her later films, although she was impressive in Normal Life."
8,"Reese Witherspoon plays Dani, a young country girl that falls madly in love with the new 17 year old neighbor, Court, played by Jason London. Court tries his best to make Dani realize that the difference in their ages would make a love relationship improbable. Soon the nubile charm of Dani starts winning over Court's will. Next enters the meeting of Dani's older sister, played by Emily Warfield, and the beginning of a short lived love/jealousy problem.  Tess Harper and Sam Waterston round out the cast. This is a fresh, free spirited; but heartbreaking drama that touches down deep. Feel free to cry."
1,"Me and my girlfriend went to see this movie as a ""Premiere Surprise"" that is we bought at ticket to the preview to a movie before it opened here in Denmark. We sat through the 1st hour or so and then we left! The point of the movie seemed to be simply to portray the era (and club 54), but it did so at the expence of character development, of which there was none, and plot of which there was little.  Seldom have I been so indifferent to the characters in a movie!  The music was good though. So if you like to hear some good music and get a fix of that 70ies mood I guess it is OK. But don't expect to get a plot of believable characters.  "
10,"The ultimate homage to a great film actress.The film is a masterpiece of poetry on the screen.Like great poetry it is timeless.Direction,cast,screenplay,music,lyrics,in fact all the norms for movie-making are perfectly chosen to suit the message of the film.The Muslim society in India has never been presented with such respect,nobility and reality.The script is memorable in the hands of Meena,Ashok,Raaj Kumar,Nadira etc to name a few.Personally i was most impressed by the regal looking Kamal Kapoor.The master movie maker Kamal Amrohi's lasting legacy to the sub-continent.A very beautiful film on a controversial theme that makes humanity look up and face the reality of the outcasts in the world.'In ka naam? Pakeeza! haan Pakeza'.Such acting is unheard of in this age of sex,dance and pornography."
1,"Simply terrible! Why wouldn't you use actual actors? Look, this has to stop! Stop using non-actors! If you want any credibility or any message sent via these low-budget films...please for the love of god use real actors! Most will work for free...take advantage of that! Now back to my comment...anyway, the humour was lower than that of the bathroom variety and wasn't funny on any level. As for the quality...in one scene filmed on a public transportation bus you could see the reflection of the crew...guess what? It was one guy with what looked like a Sony Camcorder and probably not even his. Well, I assume the only audience for this film are people with a gore fetish...and it wasn't even good gore."
3,"This oddity in the new DORIS DAY COLLECTION doesn't really need to be included as she is only in the film for less than 30 minutes. What she does do however, is shine when she's on screen. The near plot less movie is just an excuse to showcase some Warner contract players of the day. JANCIE RULE shows promise and it's a shame she didn't become a big star. RUTH ROMAN handles the role of the ""go-getter"" with aplomb. Better if this was in color. The Travis Air force base locations with some rear projection work well. What's best about the movie are some wonderful musical interludes. If you enjoyed THANK YOUR LUCKY STARS and Hollywood CANTEEN you'll like this one."
8,"Cinderella is a beautiful film, with beautiful songs of course. In fact, it's one of the best films of the 1950's.  I think all the characters are portrayed amazingly. You can see the cruelness of Cinderella's stepsisters and her stepmother, the sweetness of Cinderella. The mice are funny and sweet too.  I think they changed the tale a bit, but I think it's for the best. It's such a nice film, and I don't think anyone could resist it deep down.  I give it a 8/10. I don't think it's the best Disney film. But it sure is a true classic."
10,"Although Super Mario 64 isn't like the rest of the games in the series, it is still a classic and is every bit as good as the old games. Games with this much replay value are few and far between. Plus, this game has so much variety. There are 15 levels each with several different tasks you can do, and many other hidden tasks. The game isn't very challenging, but its lack of challenge doesn't take away from the game at all. Once you beat it, you'll want to erase your game and start again. And its just as much fun the second time, or third time, or two hundredth time. A must own for any Nintendo 64 owner, and is a reason in itself to own a Nintendo 64."
9,"I don't see how this show is like the OC at all.   First of all, the OC centers around teenagers and their parents trying to get through life. North Shore is about a hotel staff who is trying to run the hotel and have a social life at the same time. Second, The OC takes place in California. North Shore takes place in Hawaii.  And why would Fox make a show just like one of its other shows on the same network? I think this is a great show with good actors for the most part. It has a good storyline and plot. I like the events that happen and how the people take care of them and work them out. The most recent episode was surprising how the story worked out. It wasn't predictable like most stories on most shows.   I hope Fox keeps it on the air."
1,"I don't think I've ever been so bowled over by the sheer absurdity of a movie in my entire life as i was when i walked out of this piece of crap. NOTHING in it makes any sense. none of it is clever or well thought out. out of lack of truly suspenseful moments they repeatedly use that total cop-out trick where you build up the music before the character does something like open a door or push aside a curtain and then nothing's there. thats OK to do once, maybe, but i counted three times. there are things thrown in for no apparent reason, characters, half-formed story lines.... the characters weren't well developed at ALL. the ending was.. bad. bad, bad, bad, everything, every component, of this film is terrible. and I'm just here to warn you all of that."
1,"All the bare chested women in the world couldn't keep me from hitting the stop button about a third of the way through this awful rubbish. With the derisory acting, equally terrible script plus the poor CGI FX to match; this movie is an insult to the Werewolf genre. It is supposed to be serious, which in itself would be funny if this film could even make it to the level of being a bad joke.  This is one of those movies where the people behind the camera are obviously competent but are too lazy to make something even one quarter decent. Avoid at all costs and watch one of the classic Werewolf movies instead.  0 out of 10!"
10,"Robert Duvall is a direct descendent of Confederate General Robert E. Lee, according the IMDb.com movie database. After seeing this film, you may think Duvall's appearance is reincarnation at it's best. One of my most favorite films. I wish the composer, Peter Rodgers Melnick had a CD or there was a soundtrack available. Wonderful scenery and music and ""all too-true-to-life,"" especially for those of us that live in, or have moved to, the South. This is a ""real moment in time."" Life moves on, slowly, but ""strangers we do not remain."""
7,"Sunday would not be Sunday without an action movie, and when you want intense combat, you turn to Tom Berenger (Platoon).  Here he plays a sniper in the jungle going after rebels and drug lords. Life's a bitch, so he gets a green office type (Billy Zane) to help on the mission.  The film is in the hands of Luis Llosa, who stunk up Anaconda. he doesn't do much better here, but Berenger makes the movie worthwhile.  Sure, it may be a little long - who wants to see a lot of walking through the jungle, but is is good, tense action when the time is right."
1,"It is incredible!! ..yes, someone before me wrote that it was a time wasting to seat and watch this film.. it is! Don't do so! I'm totally rankled! I liked Wesley Snipes, and I founded funny that he played his name's meaning in a movie. Anyway, I wanted to see this film (at home only of course) but now (just after) I am absolutely disappointed! It was his worst movie ever. Inwatchable!! Bad actor-play! Bad cameraman! Bad scenario! ..Only one good think: that wonderful girl! Must be a manikin surely! Eeeeh!! MB ..10 lines minimum?! I don't want to waste you're time anymore to read my opinion! I hope, i was clear and under-stable, because English is not my native method of speaking. So have grate time, and see good films, like i try too.. Peace!"
1,  I watched this movie just a little while ago and I found that this movie was terrible! It moved very slowly and was hardly entertaining!  Sorry for all those that liked it.... this is only my opinion!
3,"When I first saw a small scene of it in some announcements, I thought the show would be entertaining to watch. The little robot guy does look kinda cute. The style of animation does look sort of familiar to some classic shows. Before the show aired, I studied it through some sources. There, I did became slightly dismayed. The three children (Tommy, Gus and Lola) are voiced appropriately but Robotboy is an exception. It would have been a lot nicer if he were to be portrayed by a young lad. One good example is Robot Jones, a robot character from ""Whatever Happened To Robot Jones?"" The show isn't bad really. But the way Robotboy is inappropriately portrayed is my only criticism. Thus, I don't watch it much."
3,"In the future of 2001, Freddy is after the last surviving teenager of Elm Street. Forsaking ANY scares whatsoever for unfunny attempts at humor and needless celebrity cameos (come on..Roseanne??? Tom Arnold??!!?? WTF?), this is tied with part 2 is the worst the demon child rapist ever got. Wow was this a piece of crap. Not even the great legendary Alice Cooper could make the stench of this movie go away. And when they hell did Freddy ever have a daughter?? The whole film is severely retarded in ever single conceivable way, shape & form. Rachel Talalay, you stink to high heaven, babe.  My Grade: D-   DVD Extras: Cast and Crew Bios; Jump to the 3D sequence and Jump to a Nightmare options (more extras for the film can be found on the seventh disc of The Nightmare Collection DVD set)   DVD-Rom content: Trivia game; Screenplay; and web link"
